Concept,Domain,Occurrences,Books,Chapters,Sample_Keywords,Keep (Y/N)
list,cpp_systems,2365,224,2365,add_argument; collections; debug; print; code,
gcp,cloud_infrastructure,29,15,29,billing data; data; requests; billing; spend,
model,data_science_ml,28,12,28,documents; data; document; response; blue,
gke,cloud_infrastructure,28,17,28,requests; nodes; high; key; instances,
yarn,web_development,28,10,28,build; following; job; stage; aws,
travis,devops_cicd,23,12,23,build; home page; production; code; wikipedia,
ci,devops_cicd,23,12,23,build; home page; production; code; wikipedia,
auc,data_science_ml,23,10,23,versus; positive; gpt; language; negative,
circleci,devops_cicd,22,11,22,rights; home page; wikipedia; page https; apress com,
replication,database_storage,22,11,22,scenarios; data; write; time; point,
fargate,cloud_infrastructure,21,9,21,image; function; aws; lightsail; create,
cloud,cloud_infrastructure,21,12,21,cost; data; requests; shield; aws,
iterator,design_patterns,21,3,21,results; void; code; waiting; processors,
state,design_patterns,19,11,19,travel; data; nebu; multi; assistant,
security,security,19,15,19,provides; space; aws; messages; create,
route,web_development,19,7,19,challenge; password; function; aws; rds,
subnet,cloud_infrastructure,19,8,19,provides; arn; aws; errata; create,
saga,microservices_architecture,19,1,19,functions; fitness; ticket; survey; problem,
session,web_development,18,13,18,attribute; requests; site; response; login,
cloudfront,cloud_infrastructure,18,7,18,challenge; arn; aws; mp3; podcast,
auto_ptr,cpp_systems,18,6,18,data; global data; routines; function; widget,
interface,design_patterns,16,14,16,data; abt; key; create; information,
gemini,llm_rag,16,6,16,tasks; environment; env_ch01; gpt; applications,
cloudwatch,cloud_infrastructure,16,7,16,data; challenge; logs; aws; create,
seaborn,data_science_ml,15,7,15,step; data; reviews; review; gpt,
app service,cloud_infrastructure,15,13,15,trains; line; time; tests; listing,
request,web_development,15,9,15,curl; listing 13; attribute; byte; message,
argocd,devops_cicd,14,5,14,files; change; aws; production; code,
strategy,design_patterns,14,13,14,document; overview; development; message; time,
testing,testing_quality,12,7,12,scenarios; step; data; cucumber; overview,
logging,devops_cicd,12,3,12,data; auto; following; logs; code,
webdriver,testing_quality,10,7,10,scenarios; points; step; cucumber; ﬁle,
thread,concurrency_parallelism,10,4,10,results; data; function; std packaged_task; std experimental,
macro,cpp_systems,10,8,10,data; const; code; program; size,
transaction,database_storage,10,6,10,data; development; code; applications; application,
mysql,database_storage,10,2,10,yaml; code; example 12; kind; ops,
ansible,devops_cicd,7,5,7,code files; code; python26; root ansible; oceanofpdf com,
proxy,design_patterns,6,3,6,challenge; arn; aws; problem challenge; amazon,
kinesis,cloud_infrastructure,6,4,6,data; hbase; logs; aws; log,
route53,cloud_infrastructure,6,3,6,following; click; internal; create; hosted,
scalability,microservices_architecture,6,2,6,points; data; key points; michael; key,
primary key,database_storage,5,4,5,app; products; data; attribute; course,
design,design_patterns,5,4,5,requests; photo; machine; following; photos,
asan,cpp_systems,5,4,5,people; able; __asan_memcpy; impact; ability,
time series,data_science_ml,5,4,5,static inline; che; void; data; unsigned,
ssl,security,5,2,5,data; options; summary chapter; disk; handling,
alerting,devops_cicd,5,3,5,alerting alertmanager; data; chapter alerting; firing; alerts,
feature,data_science_ml,4,2,4,data; review; basket; product; response,
token,security,4,2,4,image; data; plane; tests; listing,
redis,database_storage,4,3,4,jobs; data; __meta_ec2_public_ip; able; key,
future,concurrency_parallelism,4,1,4,results; data; function; std packaged_task; std experimental,
condition variable,concurrency_parallelism,4,4,4,documents; data; tasks; function; stage,
value object,design_patterns,4,4,4,int; let; content; partial; const,
header,cpp_systems,4,1,4,evidence; data; mac; volume; date,
django,python_implementation,4,2,4,anti; settings; code; __eq__; list,
vue,web_development,3,1,3,discounts; data; basket; product; cart,
accuracy,data_science_ml,3,3,3,gain; data; lfs; curve; items,
compliance,security,2,2,2,change; aws; code; related; toolkit,
join,database_storage,2,2,2,image; data; plane; tests; listing,
distributed,microservices_architecture,2,2,2,calls; data; single; tests; custom,
scope,security,2,1,2,versus; data; google; usage; cost,
task,concurrency_parallelism,2,1,2,read; reacting; item; write; code,
chain,llm_rag,2,2,2,angle; angles; world; pose; bone angle,
compute engine,cloud_infrastructure,2,2,2,day; enter; contact; audio; year,
css,web_development,2,2,2,image; spec; code; images; term,
prometheus,devops_cicd,2,2,2,data; version v1; nil; time; chapter introduction,
foreign key,database_storage,2,1,2,fact; key; course; student; skill,
agent,llm_rag,1,1,1,format; function; weather; input; sure,
pattern,design_patterns,1,1,1,jobs; data; key; listing; commands,
reserved instances,cloud_infrastructure,1,1,1,work; graphics; qword; processing; spus,
controller,web_development,1,1,1,creation; list; shell; application; controller creation,
jenkins,devops_cicd,1,1,1,code; delivery gcp; gcp; create; file,
consul,microservices_architecture,1,1,1,nil; mustnewconstmetric; desc; exporter; labels,
microservice,microservices_architecture,1,1,1,__eq__; 47 use; __dict__; __getitem__; __class__,
object file,cpp_systems,1,1,1,int; code; sample; pyobject; file,
machine learning,data_science_ml,1,1,1,video; titles; informit; press; informit com,
package manager,web_development,1,1,1,say; going; sarah; wes; says,
conversation,llm_rag,1,1,1,years; developers; developers conversation; tent; forward,
unit test,testing_quality,1,1,1,suite; testcase; xunit; tests; run,
